provinsi,kabupaten_kota,derajat_desentralisasi_2023,rasio_kemandirian_2023,tingkat_penyerapan_pendapatan,tingkat_penyerapan_belanja,rasio_pajak,rasio_efektivitas_pad,rasio_efektivitas_pajak,rasio_belanja_thd_pendapatan,log_derajat_desentralisasi_2023,log_rasio_kemandirian_2023,log_tingkat_penyerapan_pendapatan,log_tingkat_penyerapan_belanja,log_rasio_pajak,log_rasio_efektivitas_pad,log_rasio_efektivitas_pajak,log_rasio_belanja_thd_pendapatan
Jambi,Kab. Sarolangun,4.71,4.98,102.98,97.25,1.77,75.35,81.53,99.87,1.742219023667919,1.7884205679625405,4.6441985729555695,4.58751525074937,1.0188473201992472,4.335328031664641,4.413161863604593,4.613832559066744
Jambi,Kab. Tanjung Jabung Barat,8.63,9.44,109.22,121.0,2.38,111.0,109.79,117.18,2.2648832258100344,2.3456445824544927,4.70247836845509,4.804021044733257,1.2178757094949273,4.718498871295094,4.707636517532581,4.772208885917529
Jambi,Kab. Tanjung Jabung Timur,5.26,5.55,104.05,98.64,1.75,108.51,95.35,102.24,1.8341801851120072,1.8794650496471605,4.654436427291009,4.60156369039398,1.0116009116784799,4.696015869287668,4.567987394860375,4.637056374850413
Jambi,Kab. Tebo,6.79,7.43,108.26,107.89,2.0,99.88,122.7,100.88,2.052840859882657,2.131796772013764,4.693730362967572,4.69033819835797,1.0986122886681098,4.613931691656664,4.8178592793984425,4.623795650111256
Jambi,Kota Jambi,26.97,36.93,98.24,98.61,19.56,87.02,91.63,103.46,3.3311325072138684,3.6357423557008075,4.5975411588236,4.601262561157074,3.0233474405869645,4.477564061382945,4.5286130632659365,4.6488042230081525
Jambi,Kota Sungai Penuh,9.14,10.13,97.49,95.68,1.2,69.31,69.32,103.61,2.316487998163037,2.4096441652874536,4.589955020181611,4.571406555835282,0.7884573603642702,4.25291403621107,4.253056253376921,4.650239149355669
Jawa Barat,Kab. Bandung,20.38,25.79,133.59,119.99,10.32,100.49,90.44,101.19,3.062455905596899,3.2880286835565173,4.902233120245624,4.7957078975533864,2.4265710727750367,4.619960271460727,4.515683019486556,4.626833825624118
Jawa Barat,Kab. Bandung Barat,22.94,29.77,92.07,89.16,16.69,64.57,94.42,98.42,3.1755507001298273,3.4265401893339504,4.533351898197619,4.501585869731521,2.872999508171694,4.183118274275528,4.5582882000879605,4.599353300666526
Jawa Barat,Kab. Bekasi,43.47,76.9,108.83,98.04,35.94,104.55,103.08,102.2,3.794814804522605,4.355425952876702,4.698933715800255,4.595523808936286,3.609294974771094,4.65918477429433,4.64515983420425,4.636668853047462
Jawa Barat,Kab. Bogor,40.74,69.72,113.91,104.62,28.81,115.78,112.13,98.75,3.7314599016490546,4.258728418329388,4.744149213269543,4.659847747278787,3.39484390768998,4.760291822855391,4.728537599938376,4.602667055769973
Jawa Barat,Kab. Ciamis,9.84,10.93,117.93,109.8,2.85,108.21,107.21,101.16,2.3832429960115,2.4790562361098245,4.778535084739154,4.707726774313183,1.3480731482996928,4.693272634209637,4.684073783583557,4.626540211724284
