provinsi;kabupaten_kota;derajat_desentralisasi_2023;rasio_kemandirian_2023;tingkat_penyerapan_pendapatan;tingkat_penyerapan_belanja;rasio_pajak;rasio_efektivitas_pad;rasio_efektivitas_pajak;rasio_belanja_thd_pendapatan
Kalimantan Selatan;Kab. Kotabaru;7.62;8.28;118.2;106.43;2.67;150.41;119.26;91.2
Kalimantan Selatan;Kab. Tabalong;10.69;11.99;135.23;125.0;3.85;125.3;115.43;95.56
Kalimantan Selatan;Kab. Tanah Bumbu;6.18;6.64;158.67;136.55;2.13;103.99;74.35;86.67
Kalimantan Selatan;Kab. Tanah Laut;9.37;10.34;128.3;99.47;2.33;94.87;107.11;99.29
Kalimantan Selatan;Kab. Tapin;6.38;6.86;89.35;103.58;1.81;99.15;137.87;109.54
Kalimantan Selatan;Kota Banjarbaru;25.08;33.48;110.91;110.23;14.03;111.91;120.4;101.41
Kalimantan Selatan;Kota Banjarmasin;23.66;31.12;84.7;83.58;15.62;56.67;53.45;106.7
Kalimantan Tengah;Kab. Barito Selatan;5.49;5.83;99.82;100.35;1.44;81.28;80.65;99.24
Kalimantan Tengah;Kab. Barito Timur;5.55;5.91;88.41;91.16;1.87;27.84;44.39;107.75
Kalimantan Tengah;Kab. Barito Utara;4.18;4.41;117.9;96.03;1.1;99.58;114.73;83.9
Kalimantan Tengah;Kab. Gunung Mas;3.06;3.17;99.28;97.6;1.01;42.48;24.15;106.3
Kalimantan Tengah;Kab. Kapuas;5.27;5.56;116.4;94.62;1.61;107.28;89.68;81.37
Kalimantan Tengah;Kab. Katingan;6.5;6.99;103.48;94.17;4.01;86.91;108.99;102.84
Kalimantan Tengah;Kab. Kotawaringin Barat;15.96;19.15;106.22;106.68;6.07;88.18;96.38;101.7
Kalimantan Tengah;Kab. Kotawaringin Timur;17.84;21.74;102.69;97.79;9.08;91.1;80.21;98.06
Kalimantan Tengah;Kab. Lamandau;6.53;6.98;110.36;100.0;1.94;90.67;70.51;99.13
Kalimantan Tengah;Kab. Murung Raya;4.0;4.18;110.27;106.96;1.67;102.3;259.9;97.0
Kalimantan Tengah;Kab. Pulang Pisau;10.23;11.45;113.9;112.83;7.32;184.19;162.75;103.76
Kalimantan Tengah;Kab. Seruyan;6.02;6.4;100.22;94.2;1.39;58.24;29.33;104.24
Kalimantan Tengah;Kab. Sukamara;4.76;5.02;105.75;103.88;1.43;89.97;162.08;101.81
Kalimantan Tengah;Kota Palangkaraya;14.96;17.78;103.77;106.91;11.96;95.76;101.85;105.34
